"ID","Income","NCars"
1,"$50,000 or less","2 or more"
2,"Greater than $50,000","1 or fewer"
3,"$50,000 or less","1 or fewer"
4,"Greater than $50,000","1 or fewer"
5,"$50,000 or less","1 or fewer"
6,"Greater than $50,000","2 or more"
7,"$50,000 or less","1 or fewer"
8,"$50,000 or less","1 or fewer"
9,"Greater than $50,000","1 or fewer"
10,"Greater than $50,000","2 or more"
11,"$50,000 or less","1 or fewer"
12,"$50,000 or less","1 or fewer"
13,"$50,000 or less","1 or fewer"
14,"$50,000 or less","1 or fewer"
15,"$50,000 or less","1 or fewer"
16,"$50,000 or less","1 or fewer"
17,"$50,000 or less","1 or fewer"
18,"$50,000 or less","1 or fewer"
19,"$50,000 or less","1 or fewer"
20,"Greater than $50,000","2 or more"
21,"Greater than $50,000","1 or fewer"
22,"$50,000 or less","1 or fewer"
23,"Greater than $50,000","2 or more"
24,"$50,000 or less","1 or fewer"
25,"$50,000 or less","1 or fewer"
26,"$50,000 or less","1 or fewer"
27,"$50,000 or less","1 or fewer"
28,"Greater than $50,000","1 or fewer"
29,"$50,000 or less","1 or fewer"
30,"Greater than $50,000","2 or more"
31,"Greater than $50,000","1 or fewer"
32,"Greater than $50,000","2 or more"
33,"$50,000 or less","1 or fewer"
34,"$50,000 or less","2 or more"
35,"Greater than $50,000","2 or more"
36,"Greater than $50,000","2 or more"
37,"Greater than $50,000","1 or fewer"
38,"$50,000 or less","1 or fewer"
39,"Greater than $50,000","1 or fewer"
40,"$50,000 or less","1 or fewer"
41,"$50,000 or less","2 or more"
42,"Greater than $50,000","2 or more"
43,"$50,000 or less","2 or more"
44,"$50,000 or less","1 or fewer"
45,"Greater than $50,000","1 or fewer"
46,"Greater than $50,000","1 or fewer"
47,"$50,000 or less","1 or fewer"
48,"$50,000 or less","1 or fewer"
49,"$50,000 or less","1 or fewer"
50,"Greater than $50,000","2 or more"
51,"$50,000 or less","1 or fewer"
52,"Greater than $50,000","1 or fewer"
53,"$50,000 or less","1 or fewer"
54,"Greater than $50,000","2 or more"
55,"$50,000 or less","1 or fewer"
56,"Greater than $50,000","1 or fewer"
57,"$50,000 or less","1 or fewer"
58,"$50,000 or less","1 or fewer"
59,"$50,000 or less","1 or fewer"
60,"Greater than $50,000","2 or more"
61,"$50,000 or less","1 or fewer"
62,"$50,000 or less","1 or fewer"
63,"Greater than $50,000","1 or fewer"
64,"$50,000 or less","1 or fewer"
65,"$50,000 or less","1 or fewer"
66,"$50,000 or less","2 or more"
67,"Greater than $50,000","2 or more"
68,"Greater than $50,000","1 or fewer"
69,"Greater than $50,000","1 or fewer"
70,"Greater than $50,000","1 or fewer"
71,"$50,000 or less","1 or fewer"
72,"$50,000 or less","1 or fewer"
73,"$50,000 or less","1 or fewer"
74,"$50,000 or less","1 or fewer"
75,"Greater than $50,000","1 or fewer"
76,"$50,000 or less","1 or fewer"
77,"Greater than $50,000","2 or more"
78,"Greater than $50,000","1 or fewer"
79,"Greater than $50,000","1 or fewer"
80,"Greater than $50,000","2 or more"
81,"$50,000 or less","1 or fewer"
82,"$50,000 or less","2 or more"
83,"Greater than $50,000","1 or fewer"
84,"$50,000 or less","1 or fewer"
85,"Greater than $50,000","2 or more"
86,"Greater than $50,000","1 or fewer"
87,"Greater than $50,000","1 or fewer"
88,"Greater than $50,000","1 or fewer"
89,"$50,000 or less","1 or fewer"
90,"$50,000 or less","1 or fewer"
91,"Greater than $50,000","1 or fewer"
92,"$50,000 or less","1 or fewer"
93,"Greater than $50,000","2 or more"
94,"Greater than $50,000","1 or fewer"
95,"Greater than $50,000","2 or more"
96,"$50,000 or less","1 or fewer"
97,"Greater than $50,000","1 or fewer"
98,"$50,000 or less","1 or fewer"
99,"Greater than $50,000","2 or more"
100,"Greater than $50,000","2 or more"
