"CustomerID","CLV","MonthlyPremium","LifetimeClaims","Last5YearsClaims","CoverageType","SalesChannel","MonthsSinceLastClaim","MonthsSincePolicyInception","NumberOfComplaints","NumberOfPolicies","PolicyType","VehicleClass","VehicleSize","State","Location","Gender","EducationLevel","EmploymentStatus","MaritalStatus"
"AA10041",15803.488476,226,2516.655608,2307.96250117807,"Basic","Call Center",35,83,0,5,"Personal Auto L3","SUV","Midsize","PA","Suburban","Male","High School or Below","Unemployed","Single"
"AA11235",5137.686792,146,700.8,486.295245610548,"Basic","Branch",0,99,3,1,"Personal Auto L3","Two-Door Car","Midsize","VA","Suburban","Female","Bachelor","Medical Leave","Married"
"AA16582",48255.00804,142,1022.4,1022.4,"Basic","Agent",13,3,0,2,"Personal Auto L2","Four-Door Car","Midsize","NJ","Suburban","Male","Bachelor","Medical Leave","Divorced"
"AA30683",13190.203842,210,1695.434804,1695.434804,"Premium","Web",2,38,2,7,"Personal Auto L3","Four-Door Car","Midsize","PA","Suburban","Male","Bachelor","Unemployed","Single"
"AA34092",57599.9083,480,2304,2304,"Extended","Web",1,23,0,2,"Personal Auto L3","Luxury SUV","Midsize","PA","Suburban","Male","College","Employed","Married"
"AA35519",16004.616666,214,1027.2,809.89407350771,"Basic","Agent",3,65,0,3,"Personal Auto L2","SUV","Midsize","DE","Suburban","Female","College","Unemployed","Married"
"AA56476",11190.77981,142,681.6,681.6,"Basic","Call Center",25,29,0,3,"Corporate Auto L2","Four-Door Car","Midsize","DE","Suburban","Female","High School or Below","Employed","Single"
"AA69265",7929.46149,206,988.8,762.061443224451,"Premium","Web",3,79,1,1,"Personal Auto L2","Four-Door Car","Midsize","VA","Suburban","Female","Bachelor","Employed","Single"
"AA71604",23973.18424,196,940.8,734.337449762903,"Extended","Web",4,86,1,2,"Personal Auto L2","Two-Door Car","Midsize","DE","Suburban","Female","Master","Employed","Married"
"AA93585",14167.28441,354,1373.630324,1145.58291563311,"Premium","Branch",0,68,0,1,"Personal Auto L2","SUV","Midsize","PA","Urban","Male","College","Employed","Married"
"AB13432",7471.676258,220,1584,1584,"Basic","Agent",3,16,0,1,"Personal Auto L3","SUV","Midsize","PA","Suburban","Male","Bachelor","Unemployed","Single"
"AB21519",7722.972538,190,562.221576,562.221576,"Extended","Branch",3,54,0,1,"Personal Auto L3","Four-Door Car","Midsize","PA","Urban","Female","College","Employed","Married"
"AB23825",17777.750908,162,826.985844,826.985844,"Extended","Agent",24,24,1,2,"Personal Auto L1","Two-Door Car","Midsize","PA","Suburban","Male","College","Employed","Single"
"AB26022",15996.694686,224,1204.862978,985.625109593151,"Basic","Call Center",0,82,0,3,"Corporate Auto L2","SUV","Midsize","MD","Suburban","Male","High School or Below","Retired","Single"
"AB31813",89542.59872,262,1684.783664,1684.783664,"Extended","Agent",20,59,0,2,"Personal Auto L3","SUV","Midsize","NJ","Suburban","Male","High School or Below","Unemployed","Married"
"AB45325",5154.639214,128,690.36011,690.36011,"Basic","Branch",27,41,0,1,"Personal Auto L3","Two-Door Car","Small","DE","Suburban","Male","High School or Below","Employed","Married"
"AB60627",30935.57808,258,197.843564,197.843564,"Extended","Branch",19,20,0,2,"Corporate Auto L2","SUV","Midsize","PA","Rural","Male","High School or Below","Employed","Married"
"AB62982",11836.132256,146,700.8,489.383501652425,"Basic","Call Center",6,66,0,3,"Personal Auto L3","Two-Door Car","Small","MD","Suburban","Female","Doctor","Employed","Married"
"AB69140",50187.14074,140,672,444.326386343055,"Basic","Branch",14,85,0,2,"Personal Auto L2","Four-Door Car","Small","PA","Suburban","Male","Master","Employed","Married"
"AB72731",9279.963276,234,168.048826,168.048826,"Basic","Call Center",24,37,0,1,"Personal Auto L2","Sports Car","Midsize","PA","Rural","Female","Bachelor","Employed","Married"
"AB73565",15451.071416,192,921.6,709.577868870588,"Extended","Branch",13,68,0,9,"Personal Auto L3","Two-Door Car","Midsize","PA","Suburban","Male","Bachelor","Employed","Married"
"AB78984",22248.41272,192,84.587244,42.293622,"Extended","Web",8,82,0,2,"Personal Auto L1","Four-Door Car","Midsize","MD","Rural","Male","College","Employed","Single"
"AB96670",4787.830738,140,850.532616,850.532616,"Basic","Branch",24,10,0,1,"Personal Auto L1","Four-Door Car","Midsize","PA","Suburban","Male","College","Unemployed","Single"
"AB98823",12065.475262,172,825.6,825.6,"Extended","Web",4,56,0,8,"Personal Auto L3","Two-Door Car","Midsize","DE","Suburban","Male","College","Unemployed","Married"
"AC13887",9257.99065,134,964.8,964.8,"Basic","Branch",25,21,0,4,"Corporate Auto L1","Two-Door Car","Midsize","PA","Suburban","Male","Bachelor","Unemployed","Single"
"AC22873",9706.200574,250,1434.571898,1223.96132759937,"Extended","Agent",14,95,0,1,"Special Auto L3","SUV","Midsize","DE","Suburban","Female","High School or Below","Medical Leave","Married"
"AC24378",14954.352724,188,525.492562,525.492562,"Extended","Call Center",5,54,0,9,"Corporate Auto L3","Four-Door Car","Midsize","DE","Urban","Female","High School or Below","Employed","Married"
"AC40767",4995.616348,128,331.140486,331.140486,"Basic","Branch",10,47,0,1,"Personal Auto L2","Two-Door Car","Midsize","NJ","Urban","Male","Bachelor","Employed","Single"
"AC42963",42847.27446,130,624,624,"Basic","Agent",9,31,0,2,"Special Auto L3","Two-Door Car","Midsize","PA","Suburban","Male","Bachelor","Unemployed","Married"
"AC58002",11333.735924,142,379.815154,379.815154,"Basic","Branch",1,52,0,9,"Corporate Auto L2","Four-Door Car","Midsize","PA","Urban","Female","Bachelor","Employed","Married"
"AC67315",27724.20032,230,1266.264034,1041.4006147889,"Basic","Agent",20,74,0,2,"Personal Auto L2","Sports Car","Large","VA","Suburban","Female","Bachelor","Employed","Married"
"AC73173",7389.294162,204,1221.23457,996.795292715359,"Basic","Call Center",13,84,0,1,"Personal Auto L2","SUV","Large","PA","Suburban","Male","Bachelor","Unemployed","Married"
"AC75391",11536.18259,148,837.854408,837.854408,"Basic","Branch",27,19,0,9,"Corporate Auto L1","Two-Door Car","Midsize","DE","Suburban","Female","College","Employed","Divorced"
"AC79024",11066.458264,140,1008,1008,"Basic","Agent",11,14,0,9,"Personal Auto L1","Two-Door Car","Small","VA","Suburban","Male","Bachelor","Employed","Married"
"AD12500",35645.1275,456,2547.48217,2547.48217,"Extended","Call Center",17,50,0,9,"Personal Auto L2","Luxury Car","Small","PA","Suburban","Female","High School or Below","Employed","Single"
"AD18174",9675.852808,130,936,712.830475271192,"Basic","Web",6,89,0,3,"Personal Auto L3","Four-Door Car","Midsize","PA","Suburban","Female","High School or Below","Unemployed","Single"
"AD28349",9275.089294,136,704.261348,475.927534213475,"Basic","Call Center",18,81,0,3,"Personal Auto L3","Four-Door Car","Midsize","DE","Suburban","Male","High School or Below","Unemployed","Divorced"
"AD28535",7109.690528,176,111.021052,55.510526,"Extended","Branch",4,83,0,1,"Personal Auto L1","Four-Door Car","Large","PA","Rural","Female","Master","Employed","Married"
"AD33653",6649.103552,184,883.2,883.2,"Extended","Agent",13,17,0,1,"Personal Auto L2","Two-Door Car","Midsize","MD","Suburban","Male","High School or Below","Unemployed","Married"
"AD33971",25128.1355,136,652.8,652.8,"Basic","Web",15,52,0,2,"Personal Auto L3","Four-Door Car","Midsize","PA","Suburban","Male","Doctor","Unemployed","Married"
"AD38685",17317.727626,218,800.363764,800.363764,"Basic","Agent",23,45,0,4,"Personal Auto L3","Sports Car","Midsize","PA","Urban","Male","College","Employed","Married"
"AD56037",10320.503756,258,1238.4,1024.05097416749,"Extended","Agent",1,75,0,1,"Personal Auto L1","SUV","Midsize","DE","Suburban","Male","High School or Below","Employed","Married"
