"resp.id","ques","alt","chid","Duration","Rent","Type","Roommates","Commute","Bathroom","Parking","Choice"
1,1,"A",1,307,"800","House","3","20","Private","Yes",1
1,1,"B",1,307,"1000","House","3","5","Private","No",0
1,1,"C",1,307,"1000","Townhouse","1","45","Private","No",0
1,2,"A",2,307,"800","Townhouse","1","45","Shared","Yes",0
1,2,"B",2,307,"600","House","3","45","Private","Yes",0
1,2,"C",2,307,"600","House","1","20","Shared","Yes",1
1,3,"A",3,307,"600","House","1","45","Shared","Yes",0
1,3,"B",3,307,"1000","House","1","20","Private","Yes",0
1,3,"C",3,307,"800","Townhouse","1","45","Private","Yes",1
1,4,"A",4,307,"800","House","3","45","Shared","No",0
1,4,"B",4,307,"600","House","2","45","Shared","No",0
1,4,"C",4,307,"600","Apartment","3","45","Private","Yes",1
1,5,"A",5,307,"800","Townhouse","3","5","Private","Yes",0
1,5,"B",5,307,"1000","Townhouse","1","20","Private","Yes",0
1,5,"C",5,307,"600","House","1","20","Shared","No",1
1,6,"A",6,307,"800","Apartment","3","5","Shared","No",0
1,6,"B",6,307,"600","House","2","5","Private","Yes",1
1,6,"C",6,307,"800","Apartment","3","5","Shared","Yes",0
1,7,"A",7,307,"800","Apartment","2","5","Shared","Yes",0
1,7,"B",7,307,"600","House","2","20","Private","Yes",0
1,7,"C",7,307,"1000","Townhouse","1","5","Private","Yes",1
1,8,"A",8,307,"800","Townhouse","1","45","Shared","No",1
1,8,"B",8,307,"1000","Townhouse","3","20","Shared","Yes",0
1,8,"C",8,307,"600","Apartment","2","20","Shared","Yes",0
1,9,"A",9,307,"1000","Apartment","2","5","Shared","No",0
1,9,"B",9,307,"1000","Townhouse","2","45","Shared","No",0
1,9,"C",9,307,"600","House","3","20","Shared","No",1
1,10,"A",10,307,"1000","Apartment","2","45","Private","No",0
1,10,"B",10,307,"600","House","2","20","Shared","No",0
1,10,"C",10,307,"600","Apartment","3","5","Private","No",1
1,11,"A",11,307,"1000","House","1","5","Private","Yes",1
1,11,"B",11,307,"1000","House","2","5","Private","No",0
1,11,"C",11,307,"800","Apartment","3","5","Private","Yes",0
1,12,"A",12,307,"1000","Apartment","3","5","Private","No",0
1,12,"B",12,307,"600","Townhouse","3","20","Shared","No",0
1,12,"C",12,307,"600","Townhouse","1","5","Private","No",1
1,13,"A",13,307,"1000","Townhouse","1","45","Shared","Yes",1
1,13,"B",13,307,"1000","House","3","5","Private","No",0
1,13,"C",13,307,"600","Apartment","1","20","Shared","Yes",0
1,14,"A",14,307,"800","House","2","20","Private","No",0
1,14,"B",14,307,"800","Townhouse","1","20","Shared","No",1
1,14,"C",14,307,"1000","Townhouse","1","45","Shared","Yes",0
1,15,"A",15,307,"800","House","3","45","Private","No",0
1,15,"B",15,307,"800","House","1","20","Shared","No",0
