"resp.id","ques","alt","chid","duration","brand","storage","batterylife","resolution","touchscreen","price","choice"
1,1,"A",1,377,"Mac","512","4","Ultra-HD/4K","Yes","799",0
1,1,"B",1,377,"Mac","1024","8","HD","Yes","1599",0
1,1,"C",1,377,"Mac","1024","12","Ultra-HD/4K","Yes","1199",1
1,2,"A",11,377,"PC","1024","8","Ultra-HD/4K","Yes","1199",0
1,2,"B",11,377,"Mac","512","12","Ultra-HD/4K","No","799",1
1,2,"C",11,377,"PC","512","12","HD","No","1599",0
1,3,"A",12,377,"Mac","1024","4","HD","No","1599",0
1,3,"B",12,377,"Mac","2048","8","HD","Yes","1599",1
1,3,"C",12,377,"PC","1024","12","Ultra-HD/4K","No","1599",0
1,4,"A",13,377,"Mac","2048","4","HD","No","799",0
1,4,"B",13,377,"PC","1024","4","Ultra-HD/4K","Yes","1199",0
1,4,"C",13,377,"Mac","2048","12","HD","Yes","799",1
1,5,"A",14,377,"PC","512","4","HD","No","799",0
1,5,"B",14,377,"PC","2048","12","HD","Yes","799",1
1,5,"C",14,377,"PC","1024","12","Ultra-HD/4K","No","799",0
1,6,"A",15,377,"PC","512","12","Ultra-HD/4K","Yes","1199",0
1,6,"B",15,377,"PC","2048","12","HD","No","1199",1
1,6,"C",15,377,"Mac","1024","12","Ultra-HD/4K","No","1599",0
1,7,"A",16,377,"Mac","1024","12","HD","Yes","1199",1
1,7,"B",16,377,"PC","1024","8","HD","No","1199",0
1,7,"C",16,377,"PC","2048","8","HD","Yes","1599",0
1,8,"A",17,377,"Mac","1024","4","Ultra-HD/4K","Yes","1599",0
1,8,"B",17,377,"Mac","2048","12","HD","No","1599",1
1,8,"C",17,377,"Mac","1024","12","HD","Yes","1599",0
1,9,"A",18,377,"Mac","2048","12","HD","No","1199",1
1,9,"B",18,377,"PC","2048","8","HD","Yes","1199",0
1,9,"C",18,377,"Mac","2048","4","Ultra-HD/4K","Yes","1199",0
1,10,"A",2,377,"Mac","2048","8","HD","No","1599",0
1,10,"B",2,377,"PC","512","12","HD","No","1199",0
1,10,"C",2,377,"PC","2048","12","Ultra-HD/4K","No","1199",1
1,11,"A",3,377,"PC","512","12","Ultra-HD/4K","No","799",1
1,11,"B",3,377,"PC","1024","4","Ultra-HD/4K","No","1599",0
1,11,"C",3,377,"Mac","2048","4","Ultra-HD/4K","No","799",0
1,12,"A",4,377,"PC","512","8","HD","Yes","799",1
1,12,"B",4,377,"PC","2048","8","Ultra-HD/4K","No","1599",0
1,12,"C",4,377,"PC","1024","4","Ultra-HD/4K","Yes","799",0
1,13,"A",5,377,"PC","512","4","HD","No","1599",0
1,13,"B",5,377,"Mac","512","12","Ultra-HD/4K","Yes","1599",1
1,13,"C",5,377,"Mac","512","8","Ultra-HD/4K","No","1599",0
1,14,"A",6,377,"PC","1024","12","Ultra-HD/4K","No","1199",0
1,14,"B",6,377,"PC","2048","4","Ultra-HD/4K","No","1199",0
1,14,"C",6,377,"PC","2048","12","Ultra-HD/4K","Yes","799",1
1,15,"A",7,377,"PC","2048","8","Ultra-HD/4K","No","799",1
1,15,"B",7,377,"PC","1024","8","Ultra-HD/4K","No","1199",0
1,15,"C",7,377,"Mac","512","12","Ultra-HD/4K","Yes","1199",0
1,16,"A",8,377,"PC","512","12","Ultra-HD/4K","No","1199",0
1,16,"B",8,377,"PC","512","12","HD","No","1199",0
1,16,"C",8,377,"Mac","2048","12","HD","Yes","1199",1
1,17,"A",9,377,"Mac","512","4","Ultra-HD/4K","Yes","799",0
1,17,"B",9,377,"PC","512","12","HD","Yes","799",0
1,17,"C",9,377,"Mac","2048","12","HD","Yes","1199",1
1,18,"A",10,377,"PC","2048","12","HD","Yes","1199",1
1,18,"B",10,377,"PC","1024","12","HD","No","1599",0
1,18,"C",10,377,"PC","1024","12","Ultra-HD/4K","Yes","1599",0
2,1,"A",19,326,"PC","2048","12","Ultra-HD/4K","No","1599",1
2,1,"B",19,326,"Mac","512","12","Ultra-HD/4K","No","1599",0
2,1,"C",19,326,"PC","1024","4","HD","No","1199",0
2,2,"A",29,326,"Mac","512","12","Ultra-HD/4K","No","1599",0
2,2,"B",29,326,"Mac","1024","8","Ultra-HD/4K","No","799",1
2,2,"C",29,326,"Mac","512","12","HD","No","1199",0
2,3,"A",30,326,"Mac","1024","8","HD","No","799",0
2,3,"B",30,326,"Mac","1024","8","Ultra-HD/4K","No","799",1
2,3,"C",30,326,"Mac","2048","4","Ultra-HD/4K","Yes","1199",0
2,4,"A",31,326,"Mac","2048","8","HD","No","1199",1
2,4,"B",31,326,"Mac","512","12","Ultra-HD/4K","No","1199",0
2,4,"C",31,326,"PC","1024","8","HD","No","1599",0
2,5,"A",32,326,"Mac","2048","4","Ultra-HD/4K","No","799",0
2,5,"B",32,326,"Mac","2048","12","HD","No","799",1
2,5,"C",32,326,"PC","2048","4","HD","Yes","799",0
2,6,"A",33,326,"PC","1024","12","Ultra-HD/4K","Yes","1199",0
2,6,"B",33,326,"Mac","2048","8","Ultra-HD/4K","No","1199",1
2,6,"C",33,326,"Mac","1024","8","Ultra-HD/4K","No","1199",0
2,7,"A",34,326,"PC","512","12","Ultra-HD/4K","Yes","1199",0
2,7,"B",34,326,"PC","512","4","HD","No","1199",0
2,7,"C",34,326,"Mac","1024","8","Ultra-HD/4K","No","1199",1
2,8,"A",35,326,"PC","1024","12","HD","No","799",1
2,8,"B",35,326,"PC","2048","12","HD","No","1599",0
2,8,"C",35,326,"PC","1024","4","Ultra-HD/4K","No","1599",0
2,9,"A",36,326,"PC","1024","12","HD","No","1599",0
2,9,"B",36,326,"PC","2048","12","Ultra-HD/4K","No","1599",1
2,9,"C",36,326,"PC","1024","12","HD","No","1599",0
2,10,"A",20,326,"Mac","1024","12","HD","No","1599",1
2,10,"B",20,326,"Mac","2048","4","Ultra-HD/4K","Yes","1199",0
2,10,"C",20,326,"PC","1024","4","HD","Yes","1599",0
