"satisfaction","value","fair","auto","home","geico_customer","relationship_length","monthly_payment","age","Condition","ad_engaging","ad_understands","ad_purchase"
2,3,2,5,4,1,3,1068742375,102,"B",7,7,5
5,7,2,3,5,2,3,839270681,48,"A",2,1,4
2,1,6,3,3,2,3,1147237906,32,"B",4,6,3
7,4,2,3,1,2,3,1391684436,78,"B",3,2,3
7,6,1,1,1,1,3,2065218262,120,"A",2,4,2
6,7,5,4,1,2,2,1978422458,38,"A",5,6,7
3,3,5,5,5,1,1,968538020,111,"B",4,3,6
7,5,2,5,3,1,3,25068506,66,"A",3,6,4
6,1,7,1,2,2,2,815959177,63,"B",2,7,5
7,1,6,4,5,1,2,2821214,94,"A",4,2,3
4,3,7,3,4,2,1,908008036,36,"B",1,2,1
2,4,6,2,3,1,1,1137226122,21,"A",3,5,5
4,6,1,4,3,1,3,666492905,87,"B",5,1,3
2,7,3,1,2,1,2,1075080828,81,"B",3,7,5
6,3,6,1,5,2,3,1071614816,21,"A",3,7,6
3,3,3,5,1,1,3,981624808,22,"B",7,5,2
5,2,7,1,4,1,2,301698746,56,"A",7,4,2
1,6,7,1,4,2,1,492510298,112,"B",1,3,5
7,5,3,5,3,2,2,1933324214,78,"A",4,4,3
1,1,1,2,2,1,2,31076739,81,"B",6,1,3
4,2,6,1,4,2,3,896567912,78,"A",1,5,6
4,3,4,1,2,1,1,970682960,57,"B",1,7,3
7,2,6,3,4,2,2,918180146,21,"A",4,2,3
7,1,5,1,5,2,2,587366972,95,"A",5,2,6
7,1,1,2,3,1,1,339392659,73,"B",2,3,1
5,7,5,5,5,1,2,220556773,96,"A",1,1,1
7,2,7,4,1,2,2,2101378673,58,"B",4,6,2
3,5,7,4,4,1,1,1213419185,98,"A",4,5,4
6,4,1,2,3,1,3,656276635,83,"B",5,7,2
2,3,7,2,3,1,2,1940264600,68,"B",6,4,3
2,2,4,3,5,2,2,1559272949,105,"A",6,3,7
6,7,1,4,3,1,1,327589355,82,"A",4,5,5
3,7,2,1,2,1,1,1582030910,120,"B",1,6,6
1,6,4,2,4,1,2,493995746,29,"B",2,3,6
2,6,3,4,2,1,1,1489438648,89,"A",2,6,6
6,5,6,2,1,1,1,1432049361,106,"A",6,2,3
7,3,2,5,5,2,1,1923442662,90,"B",7,4,6
3,4,3,4,2,2,2,1854343998,46,"A",6,7,1
5,7,3,4,1,1,3,1208253205,26,"B",4,6,6
2,7,5,3,2,2,3,1397678695,103,"A",1,1,4
7,7,1,4,4,1,3,507639820,21,"B",6,3,6
6,4,2,4,5,1,3,1829386138,32,"B",2,1,4
