"RespondentID","OverallQuality","ServiceQuality","HealthyOptions"
1,1,1,2
2,6,5,5
3,2,1,4
4,1,1,3
5,5,2,1
6,5,4,5
7,2,2,3
8,3,2,3
9,2,1,5
10,7,7,6
11,1,7,7
12,5,4,5
13,1,1,5
14,5,5,3
15,7,6,7
16,7,4,6
17,1,2,1
18,5,2,1
19,7,7,3
20,5,3,3
21,3,1,2
22,2,1,4
23,1,3,6
24,4,4,4
25,6,5,4
26,5,7,7
27,4,5,5
28,6,5,2
29,6,4,4
30,3,2,1
31,2,4,5
32,1,3,2
33,5,2,4
34,2,1,4
35,2,2,3
36,6,6,2
37,1,3,5
38,7,7,4
39,6,6,6
40,2,2,5
41,6,4,4
42,6,4,6
43,7,6,6
44,1,2,5
45,6,5,3
46,7,4,5
47,3,5,5
48,2,4,3
49,1,2,5
50,1,2,4
51,3,3,2
52,7,7,3
53,3,1,4
54,7,5,2
55,1,2,5
56,6,2,1
57,5,6,4
58,6,6,5
59,1,2,2
60,4,4,6
61,3,3,2
62,6,6,3
63,5,5,3
64,2,2,3
65,6,7,5
66,5,6,7
67,1,2,4
68,1,2,5
69,4,5,2
70,6,1,2
71,1,1,4
72,7,7,6
73,1,4,5
74,2,5,4
75,2,2,2
76,1,1,2
77,5,5,2
78,3,4,3
79,3,4,4
80,1,1,4
81,1,3,2
82,3,3,2
83,6,5,6
84,4,5,6
85,4,4,3
86,7,6,4
