"id","starbucks_rating","blackrock_rating","presta_rating","exoroast_rating","caffeluce_rating","visit_freq","avg_spend","condition","local_intent"
1,6,7,5,4,5,"Multiple times/week",21.12,"Control",3
2,2,5,5,4,6,"Less than once/week",7.21,"Treatment",1
3,2,1,5,2,3,"About once/week",14.67,"Control",4
4,1,3,3,4,4,"Less than once/week",8.56,"Control",4
5,5,4,6,5,7,"About once/week",12.09,"Treatment",5
6,2,3,1,2,2,"About once/week",14.11,"Treatment",5
7,5,2,1,2,2,"Less than once/week",4.02,"Treatment",6
8,4,5,2,2,5,"Less than once/week",8.69,"Control",4
9,1,5,4,4,6,"About once/week",14.14,"Treatment",6
10,2,3,4,4,5,"About once/week",20.16,"Treatment",4
11,6,6,6,5,7,"About once/week",20.53,"Treatment",5
12,4,5,5,4,6,"About once/week",17.26,"Control",4
13,7,7,7,5,6,"About once/week",15.32,"Control",6
14,4,1,1,4,2,"About once/week",9.38,"Control",5
15,7,4,7,7,7,"About once/week",17.03,"Treatment",6
16,5,5,6,6,5,"About once/week",18.54,"Treatment",5
17,6,7,7,7,4,"About once/week",19.2,"Control",6
18,4,5,5,5,6,"Multiple times/week",24.26,"Treatment",4
19,4,4,6,3,4,"Multiple times/week",27.07,"Control",4
20,3,3,3,3,4,"About once/week",12.74,"Treatment",6
21,6,6,4,5,2,"Multiple times/week",22.74,"Control",3
22,3,1,3,4,3,"About once/week",12.25,"Treatment",5
23,3,5,5,3,3,"Less than once/week",7.47,"Treatment",4
24,1,4,2,4,4,"About once/week",15.72,"Treatment",7
25,4,5,6,5,2,"About once/week",15.14,"Treatment",5
26,5,6,7,7,6,"Multiple times/week",17.33,"Treatment",5
27,1,1,2,1,1,"Multiple times/week",13.46,"Control",6
28,6,5,6,3,3,"About once/week",7.92,"Treatment",3
29,5,3,4,4,4,"Less than once/week",13.08,"Treatment",4
30,1,2,2,2,2,"Less than once/week",10.79,"Treatment",7
31,1,4,2,2,3,"About once/week",16.75,"Control",6
32,3,3,2,1,3,"Less than once/week",13.23,"Treatment",4
33,5,4,5,7,5,"Less than once/week",9.18,"Treatment",5
34,1,2,3,2,2,"Less than once/week",7.79,"Control",4
35,1,2,4,3,2,"About once/week",13.91,"Treatment",3
36,6,5,3,3,5,"About once/week",12.33,"Control",3
37,1,3,2,3,2,"Less than once/week",7.78,"Control",2
38,2,1,1,2,2,"Less than once/week",11.07,"Control",6
39,3,6,7,4,4,"About once/week",21.83,"Control",5
40,2,2,3,5,3,"Less than once/week",5.21,"Treatment",1
41,1,1,1,4,4,"Multiple times/week",27.05,"Control",3
42,5,3,5,5,5,"Multiple times/week",18.57,"Treatment",7
43,5,5,6,7,6,"Multiple times/week",24.54,"Control",4
44,5,5,7,7,3,"Multiple times/week",22.51,"Control",2
45,5,4,4,1,3,"About once/week",12.68,"Control",5
46,4,5,3,3,4,"Multiple times/week",25.68,"Treatment",5
47,6,6,7,7,7,"About once/week",13.18,"Treatment",5
48,4,5,5,6,6,"About once/week",11.11,"Treatment",4
49,1,1,2,3,3,"Less than once/week",8.13,"Control",5
50,7,5,3,6,5,"Less than once/week",9.64,"Treatment",6
51,1,1,1,1,2,"About once/week",18.3,"Control",3
52,4,4,5,7,4,"About once/week",9.09,"Treatment",4
53,4,3,1,4,5,"Multiple times/week",20.36,"Control",4
54,7,5,6,7,4,"About once/week",16.89,"Control",3
55,5,7,6,7,7,"About once/week",20.6,"Control",6
56,5,2,4,4,5,"Multiple times/week",22.33,"Treatment",5
57,4,3,5,4,5,"About once/week",15.32,"Treatment",4
58,7,7,5,6,6,"Multiple times/week",28.03,"Control",4
59,1,1,1,1,1,"About once/week",13.92,"Control",4
60,7,3,5,7,7,"About once/week",16.83,"Control",5
61,5,5,5,6,5,"About once/week",18.91,"Treatment",4
62,1,1,2,2,2,"Multiple times/week",22.02,"Treatment",6
63,3,4,3,3,4,"About once/week",14.31,"Control",5
64,2,2,4,6,5,"Multiple times/week",21.54,"Control",4
65,2,5,2,3,5,"About once/week",17.54,"Treatment",6
66,4,4,4,3,6,"Less than once/week",8.12,"Treatment",5
67,3,1,3,4,4,"About once/week",20.6,"Treatment",5
68,2,2,3,3,3,"Multiple times/week",20.31,"Control",4
69,1,1,3,4,1,"Multiple times/week",20.17,"Treatment",6
70,5,5,5,3,5,"About once/week",16.6,"Control",6
71,1,1,1,2,4,"Less than once/week",11.23,"Control",3
72,1,3,4,3,5,"About once/week",14.86,"Treatment",5
73,1,3,3,2,6,"Less than once/week",4.94,"Treatment",4
74,5,5,6,6,5,"About once/week",15.74,"Control",4
75,4,4,2,1,2,"Multiple times/week",23.09,"Control",5
76,1,1,1,2,1,"Multiple times/week",23.1,"Control",3
77,4,2,3,5,3,"About once/week",15.9,"Control",4
78,5,5,5,5,6,"About once/week",14.92,"Control",3
79,6,6,5,7,7,"About once/week",13.99,"Treatment",7
80,7,2,4,1,4,"About once/week",17.12,"Control",2
81,5,4,3,6,3,"About once/week",16.24,"Control",4
82,2,3,7,4,5,"About once/week",19.57,"Treatment",4
83,4,5,6,3,4,"About once/week",10.76,"Treatment",5
84,6,7,5,6,6,"About once/week",16.89,"Control",4
85,5,5,7,7,6,"Multiple times/week",25.67,"Treatment",5
86,6,6,7,7,6,"Less than once/week",7.8,"Treatment",4
87,1,4,6,3,5,"Less than once/week",9.47,"Treatment",6
88,5,5,5,2,4,"Less than once/week",5.4,"Control",4
89,5,5,5,4,6,"Multiple times/week",19.83,"Treatment",5
90,3,2,3,1,2,"Multiple times/week",21.42,"Control",2
91,2,7,6,5,5,"Multiple times/week",28.63,"Control",5
92,4,6,3,6,5,"About once/week",13.95,"Treatment",4
