id,text,createTime,authorMeta.id,authorMeta.secUid,authorMeta.name,authorMeta.nickName,authorMeta.verified,authorMeta.signature,authorMeta.avatar,musicMeta.musicId,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,musicMeta.playUrl,musicMeta.coverThumb,musicMeta.coverMedium,musicMeta.coverLarge,covers.default,covers.origin,covers.dynamic,webVideoUrl,videoUrl,videoUrlNoWaterMark,videoMeta.height,videoMeta.width,videoMeta.duration,diggCount,shareCount,playCount,commentCount
6907228749016714e3,Confidence went 📈,1608214517,6825540583826769e3,MS4wLjABAAAA1FfFjRMUzr0hX2YPT7pRr7bCPQWa-kU_kVo3HLghB9xPQsjgNl0iIxCKKV7BO-4f,ninakleij,Nina,FALSE,"don’t tell my instagram I’m here
19 👸🏼",https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/bf750c969d404f541623e9e7d697b873.jpeg?x-expires=1608649200&x-signature=vWwNAWq%2BLTZ0rSaqn34kKJblJ4A%3D,6790057285814061e3,Element,Pop Smoke,FALSE,https://sf16-sg.tiktokcdn.com/obj/tos-alisg-v-0000/23bf8190874b48b59603dfbc0113dbb2,https://p77-sg.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/25b70ed5f7714495bd411ff1961afeea.jpeg,https://p77-sg.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/25b70ed5f7714495bd411ff1961afeea.jpeg,https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/25b70ed5f7714495bd411ff1961afeea.jpeg,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/01f8829bff3947d1957cf712ab297053?x-expires=1608584400&x-signature=l23t4P9hhln4VA7ioek9JaNNxVw%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/6e1639bc376e4417bf3c9f7dfb3c9458_1608214519?x-expires=1608584400&x-signature=ak%2BiRTcIIC0kw32dax8LYFIbOQ8%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/9f064242899c444ca8c9f09625cb3656_1608214520?x-expires=1608584400&x-signature=MtWIwJqqb87YqHOBp48CCz5Yt1M%3D,https://www.tiktok.com/@ninakleij/video/6907228749016714497,https://v77.tiktokcdn.com/ed1f811617d7b5e18b8d3b2092c4c83e/5fe11a6a/video/tos/alisg/tos-alisg-pve-0037c001/3ac9c682263f4574b741a4c71b860a5b/?a=1233&br=2830&bt=1415&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=2020122115574701019020909243127031&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2pwPGprb3ZweTMzOzczM0ApNjlnaTlnZGUzN2llaGVmNGdua2BpbjZfY2FfLS00MTRzcy01Y14yMGNgMjFgLjUxMF46Yw%3D%3D&vl=&vr=,NA,1024,576,15,3710,50,44800,68
6875468410612993e3,Quiet Zone... follow me on insta: joeysofo. Comment where you wanna see me blade next. Reply to @dwight_schnuute,1600819763,6729292817489987e3,MS4wLjABAAAAvkCSTiPWJm7Ctqp7AN3mauS_Bi8tVrbtBgnZnQKnc7nero0FEW0piU5AbzUO5nal,joeysofo,JoeySofo ,FALSE,"Tinder couldn’t help me lose my virginity so Im trying this app now
IG: joeysofo",https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/c4614893d6e1b8f9c49d08ac5dc01b03~c5_1080x1080.jpeg?x-expires=1608649200&x-signature=HO8A0BXrA26B%2BrlO%2B1QkIfkrwm4%3D,6678927595137976e3,Without Me,rapidsongs ,TRUE,https://sf77-sg.tiktokcdn.com/obj/musically-maliva-obj/1630596382105654.mp3,https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/1654351754080261~c5_100x100.jpeg?x-expires=1608649200&x-signature=MgXVLIF%2FXZQ2Uo4p%2B8utdEBTNm0%3D,https://p77-sign-sg.tiktokcdn.com/musically-maliva-obj/1654351754080261~c5_720x720.jpeg?x-expires=1608649200&x-signature=7jGj6KszavNWbR0R0pkDw5RWgNQ%3D,https://p77-sign-sg.tiktokcdn.com/musically-maliva-obj/1654351754080261~c5_1080x1080.jpeg?x-expires=1608649200&x-signature=7znywzF5TGa4VtwvZuwL9UupATM%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/c5c61cf612474abe8d04c27c77b14498_1600819765?x-expires=1608584400&x-signature=%2BZDKfdd4J7%2BwMIJRsco11J%2F85vo%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/9ebab11e097646469e2534d74ea00c5b_1600819764?x-expires=1608584400&x-signature=0WoCfq8e4ktT2tqR1s2RbX2Vovg%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-maliva-p-0068/a4e831c395554a389c102071802802b1_1600819764?x-expires=1608584400&x-signature=ji4haIieuluZbJXBgUjChE0dKqE%3D,https://www.tiktok.com/@joeysofo/video/6875468410612993286,https://v77.tiktokcdn.com/ab935f1975cb8b69aebfa5918e57a25a/5fe11a66/video/tos/useast2a/tos-useast2a-ve-0068c001/74cfc3a81ed144aa9faa80168f460357/?a=1233&br=3380&bt=1690&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=2020122115574701019020909243127031&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=MzZmZTxlaDs8dzMzODczM0ApOmQ3NmU3ZmQ0NzkzODpoO2dnNGpfcC9xMWlfLS0vMTZzc18tNTVeLy41M2IwYS4yXy06Yw%3D%3D&vl=&vr=,NA,1024,576,11,55700,1817,838100,936
689869940589806e4,Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,1606228625,6791901371429914e3,MS4wLjABAAAAsI8XQOceYtnIhIbLZLhvz24tOWdWYavlPeH5ozOlKAFTEujmc24InmAyAsNIwB71,jackeyephone,JackJacko,FALSE,"Zakelijk 📩 jackeyephone@gmail.com
Instagram: @Janjackiee",https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/12bf2ac42b91f269768119f524b4b6d8.jpeg?x-expires=1608649200&x-signature=me2U%2FS5g4rCA%2BDcHMNITC8NpCgc%3D,6881287666340481e3,Pilfingerdansen - Remix,Sigurd Barrett,FALSE,https://sf16-sg.tiktokcdn.com/obj/tos-alisg-v-0000/1fc31dca5c6d4221a72d6b71b7e1c047,https://p77-sg.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/9a7b87fc5724408ab6224cca4ff769d3.jpeg,https://p77-sg.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/9a7b87fc5724408ab6224cca4ff769d3.jpeg,https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/9a7b87fc5724408ab6224cca4ff769d3.jpeg,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/3fe9bd8f0f8240c6b63d1cff49018ea0?x-expires=1608584400&x-signature=iEsf3%2BD0JtBD77lU6EfH8j9SByU%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/235acfc806bb48f2af85eec9607e4178_1606228626?x-expires=1608584400&x-signature=t%2Bv4awKjbecfEO6x9wTdbCnefGU%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/65a1d294354a4f94bb22a1208608829b_1606228627?x-expires=1608584400&x-signature=ZTClMvr%2FC18t%2FBv7rvReQ8DC9N4%3D,https://www.tiktok.com/@jackeyephone/video/6898699405898059010,https://v21.tiktokcdn.com/video/tos/alisg/tos-alisg-pve-0037c001/25076155259146a986c3e014c0176675/?VExpiration=1608587886&VSignature=2ea542cacb3ebcb6724f8d2e458016f5&a=1233&br=2578&bt=1289&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=2020122115574701019020909243127031&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=andwNXNxOTVreDMzaTczM0ApNjYzZztkZTs1Nzk5O2RkPGc0L3FfZGFvaXJfLS1hMTRzczEzMWJfMWJgXzEwNDY1MjM6Yw%3D%3D&vl=&vr=,NA,960,540,19,936200,21100,15300000,27100
6902819837345534e3,,1607187987,6574079584262095e3,MS4wLjABAAAAPfdkn_2Eu2__LdAOUeGO8z3mYALisMlAo3gnS900qb_IqS45yiS-mmQ7Toxok8Q0,naomivaneeren,Naomi van eeren ✨,FALSE,Just for fun,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/81961742399b9a897767f463284e1b4a.jpeg?x-expires=1608649200&x-signature=e4sLA4SAl4jWxnqUWqfDO91jFcc%3D,6881107586830078e3,Justin Timberlake - Mirrors,Noah,TRUE,https://sf16-sg.tiktokcdn.com/obj/musically-maliva-obj/6881107427576515334.mp3,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1665146893756421~c5_100x100.jpeg?x-expires=1608649200&x-signature=S6k8pouwfldd%2B1J81iaypetjCk0%3D,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1665146893756421~c5_720x720.jpeg?x-expires=1608649200&x-signature=2KDBCfHnLnAGL4PYf6dyHKUnMp4%3D,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1665146893756421~c5_1080x1080.jpeg?x-expires=1608649200&x-signature=%2Fj7MKxgHJSlC3iHfH7mMOrFM9Cs%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/0ab9734b5a4f47719b9c4ec1e4e1237d?x-expires=1608584400&x-signature=KjcW1fWjNgcPzgFlnscr1byCqT0%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/a1692ddb7d664a06b9d4108502955423_1607187990?x-expires=1608584400&x-signature=YKidZ%2BadWU0Xc1m6ivrO9nKemkc%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/639d77f5eeb94ae29f687ba68ce540c4_1607187991?x-expires=1608584400&x-signature=mx0IBZ90f5xkMcapgOL9maR5HlY%3D,https://www.tiktok.com/@naomivaneeren/video/6902819837345533186,https://v21.tiktokcdn.com/video/tos/alisg/tos-alisg-pve-0037c001/8eb954f665754fceb0e1c93722dece38/?VExpiration=1608587880&VSignature=d6e2550fa67829cf1d8e5a4d1ce57c73&a=1233&br=3042&bt=1521&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=2020122115574701019020909243127031&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=anhndWdydTZ1eTMzZzczM0ApNDU1OWk7aWU4NzU2OjxoNmdiY2hzYzBjcDJfLS1jMTRzc2EwY2MtXjU0M2EtLjVgYTA6Yw%3D%3D&vl=&vr=,NA,1024,576,13,12900,197,94900,143
6905635666588192e3,小技です👟✨#tiktok教室#tutorial,1607843600,6586854399372392e3,MS4wLjABAAAAqwdQMoXzQWa8Zg8uIlLjIzNDK9dJ_0hiNKep9Mb6vXXL9mgy5kH4wdJD-pFEOuQs,io.dreamer_mk,io. Dreamer,FALSE,"Dance tutorial🌏🤍
動画レクチャー/教室はインスタにDMを YouTube→mkmkmk.m99
instagram→io.dreamer",https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tiktok-obj/4f9de35c02f5c80f9f65f68cbfd0dbc6.jpeg?x-expires=1608649200&x-signature=COgIVuObUTGyUtkmBf5k2FTCDX0%3D,6649693417590753e3,原聲,Mj.无名氏,TRUE,https://sf77-sg.tiktokcdn.com/obj/musically-maliva-obj/1623460306604038.mp3,https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/1631513959710790~c5_100x100.jpeg?x-expires=1608649200&x-signature=dQD%2BXfBBiWzieuZN28C4Hnutg5U%3D,https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/1631513959710790~c5_720x720.jpeg?x-expires=1608649200&x-signature=56CdQy2NpQWSboYJPnI1dDtvYcE%3D,https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/1631513959710790~c5_1080x1080.jpeg?x-expires=1608649200&x-signature=WkxnycD9FwF44PTrCHM3r74dLM0%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/169f4b67ab9f4f408dd8a97debf7f12b?x-expires=1608584400&x-signature=oa8AHwNaJ9ezWdU2XaGMD7SFb4E%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/bf87b97129a04fc291e09e27678d626b_1607843607?x-expires=1608584400&x-signature=%2B8oxG1RN7BR19jaFPF6tIdc1ypY%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/8abf150b6bd24c77a3dcab0bea24c2aa_1607843603?x-expires=1608584400&x-signature=IgaSXOgvF4V8UUjBxXuF9saVfBU%3D,https://www.tiktok.com/@io.dreamer_mk/video/6905635666588192002,https://v77.tiktokcdn.com/7622979a5ceb97c6da4ec1f6b9c23702/5fe11a71/video/tos/alisg/tos-alisg-pve-0037c001/f468dc17f7cf4a698e8be586c72b32e5/?a=1180&br=1856&bt=928&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=2020122115574701019020909243127031&lr=tiktok&mime_type=video_mp4&qs=0&rc=M2xzNTVseDR1eTMzaTgzM0ApNTc4NDppMzs4Nzs1Zjo3ZGducWAwNl9fcl5fLS0vLzRzczEzM2BeM2E1Y2NiYl42YF46Yw%3D%3D&vl=&vr=,NA,1024,576,22,8805,198,115300,52
6895497835681288e3,Great rally 😍🏐❤️ show some love in the comments for them👉❤️🏐 #volleyball #volleyballlove #volleyballworld,1605483204,6828136153255593e3,MS4wLjABAAAAMZKbwPZdBTJBPj6CPuzTJHsc04K8F1gQxQtTQIJUMas6GhgscSSl65olTd2qSW1M,the_volleyball_community,Volleyball community,FALSE,"This is a community of people who love volleyball
      🏐❤️🥇
Feel Free to join",https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/33e0126db0a725ae1af628326cf18fac~c5_1080x1080.jpeg?x-expires=1608649200&x-signature=%2F6CuUAHfh5anrFdhuG35IOJVqkE%3D,6873639087861942e3,Diamonds,Sam Smith,FALSE,https://sf77-sg.tiktokcdn.com/obj/tos-alisg-v-0000/867d3a7347cd4db8942cbd998e1d4993,https://p77-sg.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/54d02b1b6b81449bbcae0ac4a26b93a2.jpeg,https://p77-sg.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/54d02b1b6b81449bbcae0ac4a26b93a2.jpeg,https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/54d02b1b6b81449bbcae0ac4a26b93a2.jpeg,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/69c3bec6724c4d4faa988900f31b04ce_1605483206?x-expires=1608584400&x-signature=JELJFEj8bvGa2%2BHkCxBITMJJmTM%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/f2e2c9bd81e54e97bc766218b9b43938_1605483206?x-expires=1608584400&x-signature=H%2B3y1dmpDziWxYVHepi1arLx%2Foo%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/455e5ce9ad6a4aa5b1b4e0fc9206b678_1605483206?x-expires=1608584400&x-signature=dQbzQ7il3GCWiDzPDjYyaGuHiJ8%3D,https://www.tiktok.com/@the_volleyball_community/video/6895497835681287426,https://v21.tiktokcdn.com/video/tos/alisg/tos-alisg-pve-0037c001/9d673a4e3e48457ebb0fc123eee17065/?VExpiration=1608587896&VSignature=05f2014f387513e16c64514a5d64a6fc&a=1233&br=2692&bt=1346&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=2020122115574701019020909243127031&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ajlpO2RuOzt1eDMzNjczM0ApNzVkZGc3OmQ3N2c3aThmPGdhbWdhLTZgaWxfLS0uMTRzcy8zNDM2MTIuNTUvMGExXy06Yw%3D%3D&vl=&vr=,NA,1024,576,29,343000,2846,2800000,2732
689530301386754e4,Oh no,1605437840,6879814870579512e3,MS4wLjABAAAAdg8TB3SVmMYheTyicrsuJ5lCsQioOoaskY6i_meRY72rQo224cSQVbFV4eOOoeYO,milanvannleeuwen,Milan,FALSE,@Milanvannleeuwen,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/23c162e572ee5b930d243e31c1374719.jpeg?x-expires=1608649200&x-signature=%2F8v7gqMk7%2FhIFMO%2BqjglzhY1R%2Fo%3D,6893870343761496e3,origineel geluid,🌹Rosalie🌹,TRUE,https://sf16-sg.tiktokcdn.com/obj/tiktok-obj/6893870290623810306.mp3,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/aa5c26a73239d315d3a1f5221ed83f4b.jpeg?x-expires=1608649200&x-signature=rjgT7bieXJPHAJwDZD0sGpO4p9Q%3D,https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/aa5c26a73239d315d3a1f5221ed83f4b.jpeg?x-expires=1608649200&x-signature=L1Yzm95kOzsSNTvU2ZQ6sdpmsCM%3D,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/aa5c26a73239d315d3a1f5221ed83f4b.jpeg?x-expires=1608649200&x-signature=Wv0FX8HUFpnBg6y7%2B3GZUGqvEQU%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/2074cb2bcc314760b8e67a4232d013f8?x-expires=1608584400&x-signature=BnNFXjfaAMXz3lIIRY33YndLd14%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/982f608894904c3d8f63f8ca39e535d7_1605437843?x-expires=1608584400&x-signature=CDoOrwArBalckE863KXAsxCc%2FSI%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/38bbad14d170434d89e0f5ea765373d7_1605437843?x-expires=1608584400&x-signature=6NR5nVbxl6m9qx0YxdQSX7aRVbQ%3D,https://www.tiktok.com/@milanvannleeuwen/video/6895303013867539713,https://v77.tiktokcdn.com/51d223926618e0839eceff8e1b7e97a0/5fe11a66/video/tos/alisg/tos-alisg-pve-0037c001/7f30a8e685eb4cdf9c32c088186e3c2f/?a=1233&br=4194&bt=2097&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=2020122115574701019020909243127031&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ajt1dm12NzVqeDMzZzczM0ApPGg7NjY4aDs8NzQ5ODtpZGdvaG80YG0xZ2xfLS1eMTRzczAyNjU0Ll5jYV8vYS0uLzM6Yw%3D%3D&vl=&vr=,NA,1024,576,11,227,0,62200,4
6884590643327291e3,#TimeWarpScan,1602943672,6807032812786157e3,MS4wLjABAAAAt2vCkXgXDMvwtzdjDFsPiLBlmu4xb7BIet2mjvEO_MRtsOMD9eYmr3yCYCdfO5MQ,helen.c_,Helen,FALSE,"Mum of 2 boys. 
It’s 5pm somewhere! 🍸
Lockdown made me do it! 
🇬🇧",https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/1661874965682182~c5_1080x1080.jpeg?x-expires=1608649200&x-signature=P6Qf%2BO7oeU%2FJbB8nkn%2BVDp%2F0hTk%3D,6850266942448683e3,original sound,Moonpie,TRUE,https://sf16-sg.tiktokcdn.com/obj/musically-maliva-obj/6850266872089283333.mp3,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/e2c064ed497b1050a5555c8778d5eb26~c5_100x100.jpeg?x-expires=1608649200&x-signature=6ZAJWS7Lkdw%2BPhqaONH1pfx0dCI%3D,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/e2c064ed497b1050a5555c8778d5eb26~c5_720x720.jpeg?x-expires=1608649200&x-signature=6lPe5RTIlWCfS9Kyt0gYLHHtZWA%3D,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/e2c064ed497b1050a5555c8778d5eb26~c5_1080x1080.jpeg?x-expires=1608649200&x-signature=XwDLJgKQl%2BKTbOp13buB%2FkFGxUs%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/8452691966984a06aa0e1c450faed5c4_1602943675?x-expires=1608584400&x-signature=YSiFd4%2FePOznStKX9%2BLKqwQCvV8%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/82654113664b4b138bed7065949851e6_1602943674?x-expires=1608584400&x-signature=MMtTnm1Z12jdEDL1QACNsBMxDgE%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/2ee0f652a7414d698218d1b8bc64d127_1602943675?x-expires=1608584400&x-signature=odlrc%2FNVCa2wHu%2FowOD3bdkH42Q%3D,https://www.tiktok.com/@helen.c_/video/6884590643327290625,https://v77.tiktokcdn.com/7e53d6f8656be23742cbc507e86b4172/5fe11a64/video/tos/alisg/tos-alisg-pve-0037c001/61941180c2e0420c94845cc48c137a49/?a=1233&br=1480&bt=740&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=2020122115574701019020909243127031&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=anQ5NTV0azNpeDMzOjczM0ApO2U2aWUzOTw8NzQ2OmQ8PGdtcGdwbmdmaTJfLS0wMTRzcy8yMmFfNmM0YV8tYWBgYmE6Yw%3D%3D&vl=&vr=,NA,1024,576,9,4326,201,81200,354
6906514963569889e3,"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",1608048326,181232554367254460,MS4wLjABAAAAeu3MgjFp4IDpXP9fAVEUNGA0p-IyMkOYgKanMUqMQ_oGHqrN48ie3Qj5yZalIwwI,sulekolik,@Şulekolik,FALSE,"Mekan 👉🏻 Amsterdam🏠
Memleket 👉🏻Kahramanmaras🍦",https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/1619379568337926~c5_1080x1080.jpeg?x-expires=1608649200&x-signature=wCPSw%2BM9VquuA6URfZgv7XF9Jog%3D,249539203825504260,Believer,Imagine Dragons,FALSE,https://sf77-sg.tiktokcdn.com/obj/iesmusic-sg-local/v1/h/876816ac8c37254d0b9ede8b15056ac2,https://p77-sg.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/966a17b561d34f54a40320c02b5242c7.jpeg,https://p77-sg.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/966a17b561d34f54a40320c02b5242c7.jpeg,https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/966a17b561d34f54a40320c02b5242c7.jpeg,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/e744f44ebb074ad9ada2556ab5e12c37_1608048329?x-expires=1608584400&x-signature=RzyVtt95X7d1L9e1QgPnAsERAFw%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/9882f36a58ef4db7862c9279fa3ac2c6_1608048329?x-expires=1608584400&x-signature=dS54ShF0bI5boVRWXltjNNfJcIU%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/089e9a9e4c4e4c88a11d8984e95c6886_1608048329?x-expires=1608584400&x-signature=iFnAmkNFk%2BzNh4sGoNFA9ueyDnc%3D,https://www.tiktok.com/@sulekolik/video/6906514963569888513,https://v77.tiktokcdn.com/093253b1e92646342d48e1cac7ad9caa/5fe11a6a/video/tos/alisg/tos-alisg-pve-0037c001/e749810f807046f2b3153af692dfa4de/?a=1233&br=4116&bt=2058&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&l=2020122115574701019020909243127031&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amdkOmVmamlneTMzZjczM0ApNTQ6OWQ6NGU1N2Q2OTNpOWdzcWlqYjNgcWBfLS1iMTRzczQyYV81MGJeX18wY2EtLjU6Yw%3D%3D&vl=&vr=,NA,1024,576,15,734,1,8071,54
6894206452450217e3,#kids #parents #funny,1605182532,17077271,MS4wLjABAAAAim5P-mfZBoQ-DLpr6SiDx_CMEQ3XnUcBK4xEIAlekEE,pien.the.pug,Jans,FALSE,"Respect all People.
Happily married 
Mom off 4 Children and 1 Pug
From🇳🇱❤🇳🇴",https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/0118143407eb1870b3f9b4ef6bc35e8b.jpeg?x-expires=1608649200&x-signature=OgoonV0GdXjkH1mfXFcLDa%2FX2hE%3D,685795261465135e4,Snort laugh,Lauren,TRUE,https://sf16-sg.tiktokcdn.com/obj/musically-maliva-obj/6857952596666190598.mp3,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1656848438049798~c5_100x100.jpeg?x-expires=1608649200&x-signature=xlVy8ngxaRySee2ZjqHO4OYKMMI%3D,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1656848438049798~c5_720x720.jpeg?x-expires=1608649200&x-signature=f%2BmgRnUkAY0K8PRfJgrTGjHgjcQ%3D,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1656848438049798~c5_1080x1080.jpeg?x-expires=1608649200&x-signature=q6y84wSEQl%2FchxLdCJgqQmiHmgM%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/4f3d61b36c034c388bf018586d2469da?x-expires=1608584400&x-signature=L%2FZ%2FZ1Cpb8yPHyXsB0EJ85GqoVw%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/1c301c4ecbd44a8bb29da430709813b5_1605182534?x-expires=1608584400&x-signature=h%2F31iw2FVsT1FZpUlV3AlvBhvVQ%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/8238017fa10a45488e8e064fbee9ad72_1605182534?x-expires=1608584400&x-signature=ltGDLHZtANVj%2Bu7XjtktMTAuStg%3D,https://www.tiktok.com/@pien.the.pug/video/6894206452450217217,https://v77.tiktokcdn.com/42a501e24bf66d68539d3cddee3c7974/5fe11a6a/video/tos/alisg/tos-alisg-pve-0037c001/85a7d9aecb9c4d6eb6d577c0c7d0e943/?a=1233&br=1090&bt=545&cd=0%7C0%7C0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&l=2020122115574701019020909243127031&lr=tiktok_m&mime_type=video_mp4&qs=5&rc=ams7OTZkcGlseDMzaTczM0ApN2RmZTg5Z2VnN2Q1OWc8OWdhMmlfYHBvNWpfLS1gMTRzczIuYmAuY2M1NTQxYF5fLzM6Yw%3D%3D&vl=&vr=,NA,1024,576,15,3874,716,95800,94
