"Streamer","Sub","ChatLastDay","ChatLastMonth","WatchLastDay","WatchLastMonth","CurrentSubOther","PastSubFocal","PastSubOther","ChatNextMonth","WatchNextMonth"
"adinross",0,0,0,475,7370,0,0,0,0,100
"adinross",0,0,0,75,1225,0,0,0,0,1570
"adinross",1,1,1,10,630,0,0,0,12,1935
"adinross",0,0,0,70,70,0,0,1,0,75
"adinross",0,0,0,10,75,0,0,0,0,20
"adinross",0,0,0,10,10,0,0,0,0,300
"adinross",0,0,0,10,820,0,0,0,0,2145
"adinross",0,0,0,135,1605,0,0,0,0,615
"adinross",0,0,0,1115,5830,0,0,0,0,3820
"adinross",0,1,1,90,340,0,0,0,0,55
"adinross",0,0,3,40,525,0,0,0,0,220
"adinross",0,0,1,105,715,0,0,0,0,45
"adinross",0,0,0,10,200,0,0,0,0,965
"adinross",0,0,0,180,2120,0,0,0,0,715
"adinross",1,2,3,10,80,0,0,0,6,190
"adinross",0,0,0,20,85,0,0,0,3,745
"adinross",0,0,3,20,1945,0,0,0,26,2000
"adinross",1,0,0,15,15,0,0,0,0,5
"adinross",0,0,0,30,30,0,0,0,0,60
"adinross",0,0,0,180,1940,0,0,0,0,355
"adinross",1,0,0,305,620,1,1,1,0,3500
"adinross",0,0,0,560,5840,0,0,0,0,2305
"adinross",0,0,0,410,2270,0,0,0,0,330
"adinross",0,0,0,5,10,0,0,0,0,260
"adinross",0,0,0,30,250,0,0,0,5,305
"adinross",0,0,0,5,1250,0,0,0,0,650
"adinross",1,7,13,205,705,0,1,0,3,105
"adinross",0,0,0,600,6150,0,0,0,0,2545
"adinross",1,0,0,30,35,1,0,1,0,125
"adinross",0,0,3,110,440,0,0,0,0,10
"adinross",0,0,0,20,865,0,0,0,0,1715
"adinross",0,1,4,155,305,1,0,1,2,395
"adinross",1,0,0,0,0,0,0,0,0,5
"adinross",0,0,0,120,1460,0,0,0,0,675
"adinross",0,0,0,30,1440,0,0,0,0,1105
"adinross",0,0,0,65,1980,0,0,0,0,230
"adinross",0,0,0,5,5,0,0,0,0,0
"adinross",0,0,0,65,1130,0,0,0,0,1385
"adinross",0,0,0,40,70,0,0,0,7,465
"adinross",0,0,0,140,1705,0,0,0,0,395
"adinross",1,3,29,40,1690,1,1,1,36,835
"adinross",1,1,15,55,450,1,1,1,20,2330
"adinross",0,0,0,410,3525,0,0,0,0,80
"adinross",0,0,0,50,1175,0,0,0,0,240
"adinross",0,5,5,60,145,0,0,0,0,195
"adinross",0,0,0,30,95,0,0,0,0,5
"adinross",0,0,0,45,5305,0,0,0,0,2950
"adinross",0,0,0,110,1675,0,0,0,0,1840
"adinross",0,0,0,65,65,1,0,1,0,145
"adinross",0,0,1,20,325,0,0,0,1,575
"adinross",0,0,1,20,1275,0,1,0,1,2895
"adinross",0,0,0,75,1850,0,0,0,0,1495
"adinross",0,0,0,580,6665,0,0,0,0,2030
"adinross",0,1,4,190,895,1,0,1,0,1290
"adinross",0,0,0,115,120,0,0,0,0,600
"adinross",0,0,2,55,1845,0,0,0,0,700
"adinross",0,0,13,65,2665,0,0,0,1,1055
"adinross",0,0,0,105,2720,0,0,0,0,250
"adinross",0,0,0,40,1815,0,0,0,0,1055
"adinross",0,0,0,625,19480,1,0,1,0,10265
"adinross",0,0,0,10,570,0,0,0,0,20
"adinross",1,0,0,5,5,0,0,0,1,675
"adinross",0,1,3,235,275,0,0,1,53,2935
"adinross",1,0,6,20,585,0,1,0,1,2605
"adinross",0,0,7,370,3190,0,0,0,10,6985
"adinross",0,0,0,5,605,0,0,0,0,695
"adinross",0,0,0,55,2100,0,0,0,0,830
"adinross",0,0,0,130,1490,0,0,0,0,1930
