"resp.id","ques","alt","chid","carpool","seat","cargo","eng","price","choice"
1,1,1,1,"yes","6","2ft","gas","35",0
1,1,2,1,"yes","8","3ft","hyb","30",0
1,1,3,1,"yes","6","3ft","gas","30",1
1,2,1,2,"yes","6","2ft","gas","30",0
1,2,2,2,"yes","7","3ft","gas","35",1
1,2,3,2,"yes","6","2ft","elec","35",0
1,3,1,3,"yes","8","3ft","gas","35",1
1,3,2,3,"yes","7","3ft","elec","30",0
1,3,3,3,"yes","8","2ft","elec","40",0
1,4,1,4,"yes","7","3ft","elec","40",1
1,4,2,4,"yes","8","3ft","gas","40",0
1,4,3,4,"yes","6","2ft","hyb","30",0
1,5,1,5,"yes","6","3ft","elec","30",1
1,5,2,5,"yes","6","3ft","elec","40",0
1,5,3,5,"yes","6","3ft","hyb","40",0
1,6,1,6,"yes","6","2ft","elec","40",0
1,6,2,6,"yes","7","2ft","gas","35",1
1,6,3,6,"yes","7","2ft","hyb","35",0
1,7,1,7,"yes","6","3ft","hyb","35",1
1,7,2,7,"yes","7","3ft","gas","40",0
1,7,3,7,"yes","6","2ft","elec","30",0
1,8,1,8,"yes","6","3ft","elec","35",0
1,8,2,8,"yes","8","3ft","hyb","40",0
1,8,3,8,"yes","7","3ft","hyb","30",1
1,9,1,9,"yes","6","2ft","hyb","35",1
1,9,2,9,"yes","7","2ft","gas","30",0
1,9,3,9,"yes","7","2ft","gas","40",0
1,10,1,10,"yes","8","3ft","elec","35",0
1,10,2,10,"yes","8","3ft","elec","30",1
1,10,3,10,"yes","7","2ft","elec","35",0
1,11,1,11,"yes","7","3ft","hyb","35",1
1,11,2,11,"yes","8","2ft","hyb","40",0
1,11,3,11,"yes","6","2ft","hyb","40",0
1,12,1,12,"yes","8","3ft","elec","40",0
1,12,2,12,"yes","8","2ft","hyb","35",0
1,12,3,12,"yes","8","2ft","gas","35",1
1,13,1,13,"yes","6","3ft","hyb","30",0
1,13,2,13,"yes","8","2ft","hyb","30",1
1,13,3,13,"yes","8","3ft","gas","30",0
1,14,1,14,"yes","8","2ft","gas","40",0
1,14,2,14,"yes","8","2ft","elec","30",0
1,14,3,14,"yes","7","2ft","elec","30",1
1,15,1,15,"yes","7","2ft","hyb","30",0
1,15,2,15,"yes","7","3ft","hyb","40",1
1,15,3,15,"yes","7","3ft","gas","30",0
2,1,1,16,"no","6","2ft","elec","40",1
2,1,2,16,"no","7","3ft","gas","40",0
2,1,3,16,"no","6","2ft","elec","30",0
2,2,1,17,"no","6","2ft","gas","30",1
2,2,2,17,"no","6","3ft","hyb","40",0
